Read 1:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.030	0.029	0.030	0.030	0.030	0.030							Read 1:350
B	0.043	0.043	0.045	0.046	0.044	0.044							Read 1:350
C	0.042	0.043	0.043	0.042	0.044	0.043							Read 1:350
D	0.043	0.043	0.043	0.044	0.044	0.044							Read 1:350
E	0.043	0.042	0.043	0.043	0.043	0.045							Read 1:350
F	0.042	0.043	0.042	0.044	0.042	0.045							Read 1:350
G	0.042	0.039	0.043	0.042	0.043	0.046							Read 1:350
H	0.047	0.043	0.041	0.047	0.043	0.049							Read 1:350

Read 3:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.030	0.030	0.029	0.030	0.030	0.030							Read 3:350
B	0.105	0.108	0.113	0.114	0.114	0.109							Read 3:350
C	0.070	0.075	0.073	0.089	0.094	0.092							Read 3:350
D	0.055	0.054	0.053	0.094	0.093	0.091							Read 3:350
E	0.107	0.112	0.114	0.118	0.124	0.124							Read 3:350
F	0.043	0.045	0.045	0.083	0.074	0.079							Read 3:350
G	0.106	0.103	0.110	0.110	0.117	0.130							Read 3:350
H	0.049	0.045	0.043	0.057	0.053	0.054							Read 3:350

Read 2:350

Kinetic read	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	E1	E2	E3	E4	E5	E6	F1	F2	F3	F4	F5	F6	G1	G2	G3	G4	G5	G6	H1	H2	H3	H4	H5	H6
0:00:00	0.030	0.029	0.029	0.030	0.030	0.030	0.040	0.041	0.044	0.044	0.043	0.043	0.039	0.043	0.040	0.040	0.041	0.041	0.039	0.040	0.038	0.041	0.042	0.041	0.040	0.040	0.041	0.041	0.044	0.043	0.039	0.041	0.040	0.047	0.039	0.043	0.039	0.036	0.040	0.039	0.040	0.046	0.043	0.041	0.039	0.049	0.040	0.044
0:00:24	0.030	0.029	0.029	0.030	0.030	0.030	0.040	0.041	0.044	0.044	0.044	0.043	0.039	0.043	0.041	0.041	0.042	0.041	0.039	0.040	0.038	0.042	0.043	0.042	0.040	0.040	0.042	0.041	0.044	0.043	0.039	0.041	0.040	0.047	0.039	0.043	0.039	0.037	0.041	0.039	0.041	0.047	0.044	0.041	0.039	0.050	0.041	0.045
0:00:48	0.030	0.029	0.029	0.030	0.030	0.030	0.040	0.041	0.044	0.044	0.044	0.043	0.039	0.043	0.041	0.041	0.042	0.041	0.039	0.040	0.038	0.042	0.043	0.042	0.040	0.040	0.042	0.041	0.044	0.043	0.039	0.042	0.040	0.047	0.039	0.043	0.039	0.037	0.041	0.039	0.041	0.047	0.044	0.041	0.039	0.050	0.041	0.045
0:01:12	0.030	0.029	0.029	0.030	0.030	0.030	0.040	0.041	0.044	0.044	0.044	0.043	0.039	0.043	0.041	0.041	0.042	0.041	0.039	0.040	0.038	0.042	0.043	0.042	0.040	0.040	0.042	0.041	0.044	0.043	0.039	0.042	0.040	0.047	0.039	0.043	0.039	0.037	0.041	0.039	0.041	0.047	0.044	0.042	0.039	0.050	0.041	0.045
0:01:36	0.030	0.029	0.029	0.030	0.030	0.030	0.040	0.041	0.044	0.044	0.044	0.043	0.039	0.043	0.041	0.041	0.042	0.041	0.039	0.040	0.038	0.042	0.043	0.042	0.040	0.040	0.042	0.041	0.044	0.043	0.039	0.042	0.040	0.047	0.039	0.044	0.039	0.037	0.041	0.039	0.041	0.047	0.044	0.041	0.039	0.050	0.041	0.045
0:02:00	0.030	0.029	0.029	0.030	0.030	0.030	0.041	0.041	0.045	0.044	0.044	0.043	0.039	0.043	0.041	0.041	0.042	0.041	0.039	0.040	0.039	0.042	0.043	0.042	0.040	0.041	0.042	0.041	0.044	0.044	0.039	0.042	0.040	0.047	0.039	0.044	0.040	0.037	0.041	0.039	0.041	0.048	0.044	0.042	0.039	0.050	0.041	0.045
0:02:24	0.030	0.029	0.029	0.030	0.030	0.030	0.041	0.041	0.045	0.045	0.044	0.043	0.039	0.043	0.041	0.041	0.042	0.041	0.039	0.040	0.038	0.042	0.043	0.042	0.040	0.041	0.042	0.041	0.044	0.044	0.039	0.042	0.040	0.047	0.039	0.044	0.041	0.037	0.042	0.040	0.042	0.048	0.044	0.042	0.039	0.050	0.041	0.045
0:02:48	0.030	0.029	0.029	0.030	0.030	0.030	0.041	0.042	0.046	0.045	0.045	0.044	0.040	0.043	0.041	0.041	0.042	0.041	0.040	0.040	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.042	0.044	0.044	0.039	0.042	0.041	0.047	0.039	0.044	0.042	0.038	0.043	0.041	0.043	0.049	0.044	0.042	0.039	0.050	0.041	0.045
0:03:12	0.030	0.029	0.029	0.030	0.030	0.030	0.042	0.042	0.046	0.046	0.045	0.045	0.039	0.043	0.041	0.041	0.042	0.042	0.040	0.040	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.042	0.044	0.044	0.039	0.042	0.040	0.047	0.039	0.044	0.043	0.039	0.044	0.043	0.044	0.050	0.045	0.042	0.039	0.050	0.041	0.045
0:03:36	0.030	0.029	0.029	0.030	0.030	0.030	0.043	0.042	0.047	0.047	0.047	0.046	0.040	0.044	0.041	0.041	0.042	0.041	0.040	0.040	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.042	0.044	0.044	0.039	0.042	0.040	0.047	0.039	0.044	0.044	0.040	0.045	0.044	0.045	0.051	0.044	0.042	0.039	0.049	0.041	0.045
0:04:00	0.030	0.029	0.029	0.030	0.030	0.030	0.045	0.044	0.048	0.048	0.048	0.047	0.040	0.044	0.041	0.041	0.042	0.042	0.040	0.041	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.042	0.045	0.045	0.039	0.042	0.040	0.047	0.040	0.044	0.045	0.042	0.047	0.046	0.047	0.052	0.045	0.042	0.039	0.050	0.041	0.045
0:04:24	0.030	0.029	0.029	0.030	0.030	0.030	0.046	0.045	0.049	0.049	0.049	0.048	0.040	0.043	0.041	0.041	0.042	0.042	0.040	0.040	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.043	0.045	0.046	0.039	0.042	0.040	0.047	0.040	0.044	0.046	0.043	0.048	0.048	0.048	0.053	0.045	0.042	0.039	0.050	0.041	0.045
0:04:48	0.030	0.029	0.029	0.030	0.030	0.030	0.048	0.047	0.051	0.050	0.050	0.049	0.040	0.043	0.042	0.041	0.042	0.042	0.040	0.041	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.044	0.047	0.048	0.039	0.042	0.041	0.047	0.040	0.044	0.047	0.045	0.049	0.049	0.049	0.055	0.045	0.042	0.040	0.050	0.041	0.045
0:05:12	0.030	0.029	0.029	0.030	0.030	0.030	0.049	0.048	0.052	0.051	0.052	0.050	0.040	0.044	0.041	0.041	0.042	0.042	0.040	0.040	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.046	0.048	0.049	0.039	0.042	0.041	0.047	0.040	0.044	0.048	0.046	0.050	0.050	0.051	0.056	0.045	0.042	0.039	0.049	0.041	0.045
0:05:36	0.030	0.029	0.029	0.030	0.030	0.030	0.051	0.050	0.053	0.052	0.053	0.051	0.040	0.044	0.041	0.041	0.042	0.042	0.040	0.041	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.048	0.050	0.051	0.039	0.042	0.041	0.047	0.040	0.044	0.049	0.048	0.051	0.052	0.052	0.057	0.045	0.042	0.039	0.050	0.042	0.045
0:06:00	0.030	0.029	0.029	0.030	0.030	0.030	0.052	0.052	0.055	0.053	0.054	0.052	0.040	0.044	0.041	0.041	0.042	0.042	0.040	0.041	0.039	0.042	0.043	0.042	0.041	0.041	0.042	0.049	0.051	0.052	0.039	0.042	0.041	0.047	0.040	0.044	0.050	0.049	0.053	0.053	0.054	0.059	0.045	0.042	0.040	0.050	0.042	0.045
0:06:24	0.030	0.029	0.029	0.030	0.030	0.030	0.053	0.053	0.056	0.054	0.056	0.053	0.040	0.044	0.041	0.042	0.042	0.042	0.040	0.041	0.039	0.042	0.043	0.042	0.042	0.041	0.042	0.050	0.052	0.053	0.039	0.042	0.041	0.047	0.040	0.044	0.050	0.051	0.054	0.054	0.056	0.060	0.045	0.042	0.040	0.050	0.042	0.045
0:06:48	0.030	0.029	0.029	0.030	0.030	0.030	0.055	0.055	0.058	0.056	0.057	0.054	0.040	0.044	0.042	0.042	0.043	0.042	0.040	0.041	0.039	0.042	0.044	0.043	0.042	0.042	0.043	0.052	0.054	0.055	0.040	0.042	0.041	0.047	0.040	0.044	0.052	0.052	0.055	0.056	0.058	0.061	0.045	0.042	0.040	0.050	0.042	0.045
0:07:12	0.030	0.029	0.029	0.030	0.030	0.030	0.056	0.056	0.059	0.057	0.058	0.055	0.040	0.044	0.042	0.042	0.042	0.042	0.040	0.040	0.039	0.043	0.044	0.043	0.043	0.042	0.043	0.053	0.056	0.056	0.039	0.042	0.041	0.047	0.040	0.044	0.052	0.053	0.056	0.057	0.059	0.063	0.045	0.042	0.040	0.049	0.042	0.045
0:07:36	0.030	0.029	0.029	0.030	0.030	0.030	0.057	0.058	0.060	0.058	0.060	0.056	0.040	0.044	0.041	0.042	0.042	0.042	0.040	0.041	0.039	0.043	0.044	0.043	0.044	0.043	0.043	0.055	0.057	0.057	0.040	0.042	0.041	0.047	0.040	0.044	0.053	0.055	0.058	0.058	0.060	0.064	0.045	0.042	0.040	0.050	0.042	0.045
0:08:00	0.030	0.029	0.029	0.030	0.030	0.030	0.058	0.059	0.062	0.059	0.061	0.057	0.040	0.044	0.041	0.042	0.042	0.042	0.040	0.041	0.039	0.043	0.043	0.043	0.045	0.044	0.043	0.056	0.058	0.058	0.039	0.042	0.041	0.047	0.039	0.044	0.054	0.056	0.059	0.059	0.062	0.066	0.045	0.042	0.040	0.049	0.042	0.044
0:08:24	0.030	0.029	0.029	0.030	0.030	0.030	0.059	0.060	0.063	0.061	0.062	0.058	0.040	0.044	0.042	0.042	0.043	0.042	0.040	0.041	0.039	0.044	0.044	0.043	0.046	0.045	0.044	0.057	0.059	0.059	0.039	0.042	0.041	0.047	0.040	0.044	0.055	0.057	0.060	0.060	0.063	0.067	0.045	0.042	0.040	0.049	0.042	0.045
0:08:48	0.030	0.029	0.029	0.030	0.030	0.030	0.060	0.062	0.065	0.062	0.064	0.059	0.040	0.044	0.042	0.042	0.043	0.042	0.040	0.041	0.039	0.044	0.044	0.043	0.048	0.046	0.046	0.058	0.060	0.061	0.039	0.042	0.041	0.047	0.040	0.044	0.056	0.058	0.061	0.061	0.065	0.068	0.045	0.042	0.040	0.049	0.042	0.044
0:09:12	0.030	0.029	0.029	0.030	0.030	0.030	0.061	0.063	0.066	0.063	0.065	0.061	0.040	0.044	0.042	0.042	0.043	0.042	0.040	0.041	0.039	0.045	0.044	0.044	0.049	0.048	0.047	0.059	0.061	0.062	0.039	0.042	0.041	0.047	0.040	0.044	0.057	0.059	0.062	0.062	0.066	0.070	0.045	0.042	0.040	0.049	0.042	0.045
0:09:36	0.030	0.029	0.029	0.030	0.030	0.030	0.062	0.065	0.067	0.064	0.066	0.062	0.040	0.044	0.042	0.041	0.043	0.042	0.040	0.041	0.039	0.046	0.044	0.044	0.050	0.049	0.048	0.061	0.063	0.062	0.039	0.042	0.041	0.047	0.040	0.044	0.058	0.060	0.063	0.063	0.067	0.071	0.045	0.042	0.040	0.049	0.042	0.044
0:10:00	0.030	0.029	0.029	0.030	0.030	0.030	0.063	0.066	0.068	0.066	0.068	0.063	0.040	0.044	0.042	0.042	0.043	0.043	0.040	0.041	0.039	0.047	0.044	0.045	0.051	0.050	0.049	0.062	0.064	0.064	0.040	0.042	0.041	0.047	0.040	0.044	0.059	0.062	0.064	0.064	0.069	0.072	0.045	0.042	0.040	0.049	0.042	0.045
0:10:24	0.030	0.029	0.029	0.030	0.030	0.030	0.064	0.067	0.070	0.067	0.069	0.064	0.040	0.044	0.042	0.042	0.044	0.043	0.040	0.041	0.039	0.048	0.045	0.046	0.053	0.051	0.051	0.063	0.065	0.065	0.039	0.042	0.041	0.047	0.040	0.044	0.059	0.063	0.065	0.066	0.070	0.073	0.045	0.042	0.040	0.049	0.042	0.045
0:10:48	0.030	0.029	0.029	0.030	0.030	0.030	0.065	0.069	0.070	0.068	0.071	0.065	0.040	0.043	0.042	0.042	0.044	0.044	0.040	0.041	0.039	0.048	0.045	0.047	0.054	0.052	0.052	0.064	0.066	0.066	0.040	0.042	0.041	0.047	0.040	0.044	0.060	0.064	0.066	0.067	0.071	0.075	0.045	0.042	0.040	0.049	0.042	0.044
0:11:12	0.030	0.029	0.029	0.030	0.030	0.030	0.066	0.070	0.072	0.070	0.072	0.066	0.040	0.044	0.041	0.042	0.045	0.044	0.040	0.041	0.039	0.049	0.045	0.047	0.055	0.053	0.054	0.065	0.067	0.067	0.039	0.042	0.041	0.047	0.040	0.044	0.061	0.065	0.067	0.068	0.073	0.076	0.045	0.042	0.040	0.049	0.042	0.044
0:11:36	0.030	0.029	0.029	0.030	0.030	0.030	0.066	0.071	0.073	0.071	0.073	0.067	0.040	0.043	0.042	0.042	0.046	0.045	0.040	0.041	0.039	0.050	0.046	0.048	0.057	0.055	0.056	0.066	0.069	0.067	0.040	0.042	0.041	0.047	0.040	0.044	0.062	0.066	0.068	0.068	0.074	0.077	0.045	0.042	0.040	0.049	0.042	0.044
0:12:00	0.030	0.029	0.029	0.030	0.030	0.030	0.067	0.072	0.074	0.072	0.074	0.068	0.040	0.043	0.042	0.043	0.047	0.046	0.040	0.041	0.039	0.051	0.047	0.048	0.057	0.056	0.057	0.067	0.070	0.068	0.039	0.042	0.041	0.047	0.040	0.044	0.063	0.066	0.069	0.069	0.075	0.078	0.045	0.042	0.040	0.049	0.042	0.044
0:12:24	0.030	0.029	0.029	0.030	0.030	0.030	0.068	0.073	0.074	0.073	0.076	0.069	0.040	0.044	0.042	0.043	0.048	0.047	0.040	0.041	0.039	0.051	0.048	0.049	0.059	0.057	0.059	0.068	0.071	0.069	0.040	0.042	0.041	0.047	0.040	0.044	0.064	0.067	0.070	0.070	0.076	0.079	0.045	0.042	0.040	0.049	0.042	0.044
0:12:48	0.030	0.029	0.029	0.030	0.030	0.030	0.069	0.075	0.075	0.074	0.077	0.070	0.040	0.043	0.042	0.044	0.049	0.048	0.040	0.041	0.039	0.052	0.049	0.050	0.060	0.058	0.060	0.069	0.072	0.070	0.040	0.042	0.041	0.047	0.040	0.044	0.064	0.068	0.070	0.071	0.077	0.080	0.045	0.042	0.040	0.049	0.042	0.044
0:13:12	0.030	0.029	0.029	0.030	0.030	0.030	0.070	0.076	0.076	0.075	0.078	0.071	0.040	0.043	0.042	0.045	0.050	0.049	0.040	0.041	0.039	0.053	0.050	0.051	0.061	0.059	0.062	0.070	0.073	0.071	0.039	0.042	0.041	0.047	0.040	0.044	0.065	0.069	0.071	0.072	0.079	0.081	0.045	0.042	0.040	0.049	0.042	0.044
0:13:36	0.030	0.029	0.029	0.030	0.030	0.030	0.070	0.077	0.077	0.077	0.079	0.071	0.040	0.044	0.042	0.045	0.051	0.049	0.040	0.041	0.039	0.054	0.051	0.052	0.062	0.060	0.064	0.070	0.074	0.071	0.040	0.042	0.041	0.047	0.040	0.044	0.066	0.070	0.072	0.073	0.080	0.083	0.045	0.042	0.040	0.049	0.042	0.045
0:14:00	0.030	0.029	0.029	0.030	0.030	0.030	0.071	0.078	0.078	0.078	0.080	0.072	0.040	0.043	0.042	0.046	0.051	0.050	0.040	0.041	0.039	0.054	0.052	0.052	0.063	0.061	0.066	0.071	0.075	0.072	0.040	0.042	0.041	0.047	0.040	0.044	0.067	0.071	0.073	0.074	0.081	0.084	0.045	0.042	0.040	0.049	0.042	0.044
0:14:24	0.030	0.029	0.029	0.030	0.030	0.030	0.072	0.079	0.079	0.079	0.081	0.073	0.040	0.043	0.042	0.047	0.052	0.051	0.040	0.041	0.039	0.055	0.053	0.053	0.064	0.062	0.067	0.072	0.076	0.073	0.040	0.042	0.041	0.047	0.040	0.044	0.067	0.072	0.074	0.075	0.082	0.085	0.045	0.042	0.040	0.049	0.042	0.044
0:14:48	0.030	0.029	0.029	0.030	0.030	0.030	0.073	0.080	0.080	0.080	0.082	0.074	0.040	0.043	0.042	0.048	0.053	0.051	0.040	0.041	0.039	0.056	0.054	0.053	0.064	0.063	0.068	0.073	0.077	0.074	0.040	0.042	0.041	0.047	0.041	0.044	0.068	0.073	0.075	0.076	0.082	0.086	0.045	0.042	0.040	0.049	0.042	0.044
0:15:12	0.030	0.029	0.029	0.030	0.030	0.030	0.073	0.081	0.081	0.081	0.083	0.075	0.040	0.043	0.042	0.049	0.054	0.052	0.040	0.041	0.039	0.056	0.055	0.054	0.065	0.064	0.070	0.074	0.078	0.075	0.040	0.042	0.041	0.047	0.041	0.044	0.069	0.074	0.076	0.076	0.083	0.087	0.045	0.042	0.040	0.049	0.042	0.044
0:15:36	0.030	0.029	0.029	0.030	0.030	0.030	0.074	0.082	0.082	0.082	0.085	0.075	0.040	0.043	0.042	0.050	0.054	0.053	0.040	0.041	0.039	0.057	0.056	0.055	0.066	0.065	0.071	0.075	0.079	0.075	0.040	0.042	0.041	0.047	0.041	0.044	0.070	0.074	0.076	0.077	0.084	0.088	0.046	0.042	0.040	0.049	0.042	0.044
0:16:00	0.030	0.029	0.029	0.030	0.030	0.030	0.075	0.083	0.082	0.083	0.085	0.076	0.040	0.043	0.042	0.051	0.055	0.054	0.040	0.041	0.039	0.057	0.057	0.055	0.067	0.065	0.072	0.076	0.080	0.076	0.040	0.042	0.041	0.047	0.042	0.044	0.070	0.075	0.077	0.078	0.085	0.089	0.045	0.042	0.040	0.048	0.042	0.044
0:16:24	0.030	0.029	0.029	0.030	0.030	0.030	0.076	0.084	0.083	0.084	0.087	0.077	0.040	0.044	0.042	0.052	0.056	0.055	0.040	0.041	0.039	0.058	0.058	0.056	0.068	0.066	0.073	0.077	0.081	0.077	0.040	0.042	0.041	0.047	0.042	0.045	0.071	0.076	0.078	0.079	0.086	0.090	0.045	0.042	0.040	0.049	0.042	0.044
0:16:48	0.030	0.029	0.029	0.030	0.030	0.030	0.076	0.085	0.084	0.085	0.088	0.078	0.040	0.043	0.042	0.053	0.057	0.055	0.040	0.041	0.039	0.059	0.059	0.057	0.069	0.067	0.074	0.078	0.082	0.078	0.040	0.043	0.041	0.047	0.042	0.045	0.072	0.077	0.079	0.080	0.086	0.091	0.046	0.042	0.040	0.049	0.042	0.044
0:17:12	0.030	0.029	0.029	0.030	0.030	0.030	0.077	0.086	0.085	0.086	0.089	0.078	0.040	0.043	0.042	0.054	0.057	0.056	0.040	0.041	0.039	0.059	0.059	0.057	0.070	0.068	0.075	0.079	0.083	0.078	0.040	0.042	0.041	0.047	0.043	0.045	0.072	0.077	0.080	0.080	0.087	0.092	0.045	0.042	0.040	0.048	0.042	0.044
0:17:36	0.030	0.029	0.029	0.030	0.030	0.030	0.078	0.087	0.086	0.087	0.090	0.079	0.040	0.043	0.042	0.055	0.058	0.057	0.040	0.041	0.039	0.060	0.060	0.058	0.071	0.069	0.076	0.079	0.084	0.079	0.040	0.042	0.041	0.047	0.043	0.045	0.073	0.078	0.081	0.081	0.088	0.093	0.046	0.042	0.040	0.049	0.042	0.044
0:18:00	0.030	0.029	0.029	0.030	0.030	0.030	0.079	0.088	0.086	0.088	0.091	0.079	0.040	0.043	0.042	0.056	0.059	0.057	0.040	0.041	0.039	0.060	0.061	0.059	0.072	0.070	0.076	0.080	0.085	0.080	0.040	0.043	0.041	0.047	0.043	0.046	0.074	0.079	0.082	0.082	0.088	0.094	0.046	0.042	0.040	0.048	0.042	0.044
0:18:24	0.030	0.029	0.029	0.030	0.030	0.030	0.080	0.089	0.087	0.089	0.092	0.080	0.040	0.043	0.042	0.057	0.059	0.058	0.040	0.041	0.039	0.061	0.062	0.060	0.072	0.070	0.077	0.081	0.086	0.080	0.040	0.043	0.041	0.047	0.044	0.046	0.074	0.080	0.082	0.083	0.089	0.095	0.046	0.042	0.040	0.049	0.042	0.044
0:18:48	0.030	0.029	0.029	0.030	0.030	0.030	0.080	0.089	0.088	0.090	0.093	0.081	0.040	0.043	0.042	0.058	0.060	0.059	0.040	0.041	0.039	0.061	0.063	0.060	0.073	0.071	0.078	0.082	0.087	0.081	0.040	0.043	0.041	0.048	0.044	0.046	0.075	0.080	0.083	0.084	0.090	0.096	0.046	0.042	0.040	0.048	0.042	0.044
0:19:12	0.030	0.029	0.029	0.030	0.030	0.030	0.081	0.090	0.089	0.091	0.094	0.081	0.040	0.043	0.042	0.058	0.061	0.059	0.040	0.041	0.039	0.062	0.064	0.061	0.074	0.072	0.079	0.083	0.088	0.082	0.040	0.042	0.041	0.048	0.045	0.047	0.075	0.081	0.084	0.084	0.090	0.096	0.046	0.042	0.040	0.048	0.042	0.044
0:19:36	0.030	0.029	0.029	0.030	0.030	0.030	0.082	0.090	0.090	0.092	0.095	0.082	0.040	0.043	0.042	0.059	0.061	0.060	0.040	0.041	0.039	0.063	0.064	0.062	0.075	0.073	0.079	0.084	0.090	0.083	0.040	0.043	0.041	0.048	0.045	0.047	0.076	0.081	0.085	0.085	0.091	0.097	0.046	0.042	0.040	0.048	0.042	0.044
0:20:00	0.030	0.029	0.029	0.030	0.030	0.030	0.083	0.091	0.091	0.093	0.096	0.083	0.040	0.043	0.042	0.060	0.062	0.061	0.040	0.041	0.039	0.063	0.065	0.062	0.076	0.073	0.080	0.084	0.090	0.083	0.040	0.042	0.041	0.048	0.045	0.047	0.077	0.082	0.085	0.086	0.091	0.098	0.045	0.042	0.040	0.048	0.042	0.044
0:20:24	0.030	0.029	0.029	0.030	0.030	0.030	0.084	0.092	0.091	0.094	0.097	0.083	0.040	0.043	0.042	0.061	0.063	0.062	0.040	0.041	0.039	0.064	0.066	0.063	0.077	0.074	0.080	0.086	0.092	0.084	0.040	0.043	0.041	0.048	0.046	0.048	0.078	0.083	0.086	0.086	0.092	0.099	0.046	0.042	0.040	0.048	0.042	0.044
0:20:48	0.030	0.029	0.029	0.030	0.030	0.030	0.085	0.092	0.092	0.095	0.098	0.084	0.040	0.043	0.042	0.061	0.064	0.063	0.040	0.041	0.039	0.064	0.066	0.064	0.078	0.075	0.081	0.086	0.093	0.085	0.040	0.042	0.041	0.049	0.047	0.048	0.078	0.083	0.087	0.087	0.093	0.100	0.046	0.042	0.040	0.048	0.042	0.044
0:21:12	0.030	0.029	0.029	0.030	0.030	0.030	0.085	0.092	0.093	0.096	0.099	0.085	0.040	0.043	0.042	0.062	0.064	0.063	0.040	0.041	0.039	0.065	0.066	0.065	0.079	0.076	0.081	0.087	0.094	0.085	0.040	0.043	0.041	0.049	0.047	0.048	0.079	0.084	0.088	0.087	0.093	0.100	0.046	0.042	0.040	0.048	0.042	0.044
0:21:36	0.030	0.029	0.029	0.030	0.030	0.030	0.086	0.093	0.094	0.097	0.100	0.086	0.040	0.043	0.042	0.063	0.065	0.064	0.040	0.041	0.039	0.065	0.067	0.065	0.080	0.077	0.082	0.088	0.095	0.086	0.040	0.042	0.041	0.050	0.047	0.049	0.080	0.085	0.088	0.088	0.094	0.101	0.046	0.042	0.040	0.048	0.042	0.044
0:22:00	0.030	0.029	0.029	0.030	0.030	0.030	0.087	0.093	0.095	0.098	0.100	0.086	0.040	0.043	0.042	0.063	0.066	0.065	0.040	0.041	0.039	0.066	0.067	0.066	0.081	0.078	0.083	0.089	0.095	0.087	0.040	0.043	0.041	0.050	0.048	0.049	0.080	0.085	0.089	0.089	0.095	0.102	0.046	0.042	0.040	0.048	0.042	0.044
